train_no,station_code,prev_delay_bucket,predicted_delay_min
11014,SDB,60-120,46.2
11014,SDB,120+,82.6
11014,SSPN,0-5,26.8
11014,SSPN,5-15,26.8
11014,SSPN,15-30,27.1
11014,SSPN,30-60,32.8
11014,SSPN,60-120,65.0
11014,SSPN,120+,115.3
11014,SUR,0-5,21.9
11014,SUR,5-15,21.9
11014,SUR,15-30,22.2
11014,SUR,30-60,27.9
11014,SUR,60-120,58.2
11014,SUR,120+,106.7
11014,TNA,0-5,34.2
11014,TNA,5-15,34.2
11014,TNA,15-30,34.5
11014,TNA,30-60,40.0
11014,TNA,60-120,76.3
11014,TNA,120+,126.4
11014,TUP,0-5,7.6
11014,TUP,5-15,7.6
11014,TUP,15-30,7.5
11014,TUP,30-60,12.1
11014,TUP,60-120,35.8
11014,TUP,120+,65.3
11014,WADI,0-5,12.6
11014,WADI,5-15,12.6
11014,WADI,15-30,12.6
11014,WADI,30-60,17.6
11014,WADI,60-120,45.5
11014,WADI,120+,79.3
11014,YG,0-5,26.5
11014,YG,5-15,26.5
11014,YG,15-30,26.8
11014,YG,30-60,32.5
11014,YG,60-120,63.9
11014,YG,120+,114.4
11014,YNK,0-5,55.9
11014,YNK,5-15,56.0
11014,YNK,15-30,56.3
11014,YNK,30-60,62.5
11014,YNK,60-120,103.4
11014,YNK,120+,156.4
11301,AD,0-5,47.6
11301,AD,5-15,47.6
11301,AD,15-30,47.9
11301,AD,30-60,49.1
11301,AD,60-120,77.6
11301,AD,120+,113.0
11301,AKOR,0-5,29.9
11301,AKOR,5-15,30.0
11301,AKOR,15-30,30.1
11301,AKOR,30-60,36.1
11301,AKOR,60-120,70.1
11301,AKOR,120+,120.0
11301,ATP,0-5,34.7
11301,ATP,5-15,34.8
11301,ATP,15-30,34.9
11301,ATP,30-60,40.9
11301,ATP,60-120,76.7
11301,ATP,120+,128.0
11301,BNC,0-5,24.5
11301,BNC,5-15,24.5
11301,BNC,15-30,24.5
11301,BNC,30-60,30.4
11301,BNC,60-120,62.4
11301,BNC,120+,110.7
11301,BNCE,0-5,17.4
11301,BNCE,5-15,17.5
11301,BNCE,15-30,17.2
11301,BNCE,30-60,22.1
11301,BNCE,60-120,52.7
11301,BNCE,120+,87.1
11301,CSMT,0-5,1.9
11301,CSMT,5-15,1.9
11301,CSMT,15-30,1.5
11301,CSMT,30-60,4.8
11301,CSMT,60-120,20.5
11301,CSMT,120+,38.3
11301,DBU,0-5,40.0
11301,DBU,5-15,40.0
11301,DBU,15-30,40.2
11301,DBU,30-60,46.0
11301,DBU,60-120,83.4
11301,DBU,120+,133.1
11301,DD,0-5,22.0
11301,DD,5-15,22.1
11301,DD,15-30,22.1
11301,DD,30-60,27.7
11301,DD,60-120,58.7
11301,DD,120+,105.3
11301,DMM,0-5,21.9
11301,DMM,5-15,21.9
11301,DMM,15-30,21.9
11301,DMM,30-60,27.4
11301,DMM,60-120,58.0
11301,DMM,120+,104.2
11301,DR,0-5,3.2
11301,DR,5-15,3.3
11301,DR,15-30,2.8
11301,DR,30-60,6.2
11301,DR,60-120,23.0
11301,DR,120+,44.9
11301,DUD,0-5,32.9
11301,DUD,5-15,32.9
11301,DUD,15-30,33.1
11301,DUD,30-60,38.7
11301,DUD,60-120,72.3
11301,DUD,120+,121.6
11301,GBD,0-5,35.7
11301,GBD,5-15,35.8
11301,GBD,15-30,35.9
11301,GBD,30-60,41.2
11301,GBD,60-120,73.7
11301,GBD,120+,120.7
11301,GTL,0-5,34.7
11301,GTL,5-15,34.7
11301,GTL,15-30,34.9
11301,GTL,30-60,40.4
11301,GTL,60-120,73.5
11301,GTL,120+,122.1
11301,GUR,0-5,32.0
11301,GUR,5-15,32.0
11301,GUR,15-30,32.2
11301,GUR,30-60,37.7
11301,GUR,60-120,71.0
11301,GUR,120+,119.3
11301,HUP,0-5,33.6
11301,HUP,5-15,33.7
11301,HUP,15-30,33.9
11301,HUP,30-60,39.1
11301,HUP,60-120,71.2
11301,HUP,120+,116.9
11301,KLBG,0-5,31.4
11301,KLBG,5-15,31.4
11301,KLBG,15-30,31.6
11301,KLBG,30-60,37.3
11301,KLBG,60-120,70.1
11301,KLBG,120+,118.4
11301,KSN,0-5,34.1
11301,KSN,5-15,34.1
11301,KSN,15-30,34.3
11301,KSN,30-60,39.8
11301,KSN,60-120,72.8
11301,KSN,120+,121.5
11301,KWV,0-5,30.5
11301,KWV,5-15,30.5
11301,KWV,15-30,30.7
11301,KWV,30-60,36.1
11301,KWV,60-120,67.9
11301,KWV,120+,116.3
11301,KYN,0-5,9.9
11301,KYN,5-15,10.0
11301,KYN,15-30,9.6
11301,KYN,30-60,13.7
11301,KYN,60-120,35.1
11301,KYN,120+,60.7
11301,LNL,0-5,11.3
11301,LNL,5-15,11.4
11301,LNL,15-30,11.1
11301,LNL,30-60,15.2
11301,LNL,60-120,40.2
11301,LNL,120+,67.9
11301,MALM,0-5,34.4
11301,MALM,5-15,34.4
11301,MALM,15-30,34.6
11301,MALM,30-60,40.1
11301,MALM,60-120,73.8
11301,MALM,120+,123.4
11301,NW,0-5,27.3
11301,NW,5-15,27.3
11301,NW,15-30,27.5
11301,NW,30-60,32.5
11301,NW,60-120,64.2
11301,NW,120+,111.1
11301,PKD,0-5,29.0
11301,PKD,5-15,29.0
11301,PKD,15-30,29.2
11301,PKD,30-60,34.6
11301,PKD,60-120,66.7
11301,PKD,120+,114.1
11301,PUNE,0-5,17.1
11301,PUNE,5-15,17.2
11301,PUNE,15-30,17.1
11301,PUNE,30-60,21.6
11301,PUNE,60-120,50.3
11301,PUNE,120+,82.9
11301,RC,0-5,36.2
11301,RC,5-15,36.3
11301,RC,15-30,36.5
11301,RC,30-60,42.2
11301,RC,60-120,77.4
11301,RC,120+,127.8
11301,RNN,0-5,91.8
11301,RNN,5-15,91.8
11301,RNN,15-30,91.5
11301,RNN,30-60,94.4
11301,RNN,60-120,128.3
11301,RNN,120+,159.5
11301,SADP,0-5,31.2
11301,SADP,5-15,31.2
11301,SADP,15-30,31.4
11301,SADP,30-60,37.0
11301,SADP,60-120,70.1
11301,SADP,120+,118.6
11301,SBC,0-5,11.9
11301,SBC,5-15,12.0
11301,SBC,15-30,11.6
11301,SBC,30-60,15.9
11301,SBC,60-120,40.5
11301,SBC,120+,68.4
11301,SDB,0-5,30.8
11301,SDB,5-15,30.8
11301,SDB,15-30,31.0
11301,SDB,30-60,36.7
11301,SDB,60-120,69.7
11301,SDB,120+,118.2
11301,SSPN,0-5,24.5
11301,SSPN,5-15,24.5
11301,SSPN,15-30,24.5
11301,SSPN,30-60,30.0
11301,SSPN,60-120,60.7
11301,SSPN,120+,107.4
11301,SUR,0-5,25.3
11301,SUR,5-15,25.4
11301,SUR,15-30,25.4
11301,SUR,30-60,30.8
11301,SUR,60-120,62.1
11301,SUR,120+,109.4
11301,URI,0-5,19.0
11301,URI,5-15,19.0
11301,URI,15-30,19.0
11301,URI,30-60,24.2
11301,URI,60-120,54.4
11301,URI,120+,93.2
11301,WADI,0-5,21.6
11301,WADI,5-15,21.6
11301,WADI,15-30,21.6
11301,WADI,30-60,27.2
11301,WADI,60-120,57.5
11301,WADI,120+,104.5
11301,YG,0-5,28.5
11301,YG,5-15,28.5
11301,YG,15-30,28.7
11301,YG,30-60,34.2
11301,YG,60-120,66.7
11301,YG,120+,115.1
11301,YNK,0-5,42.3
11301,YNK,5-15,42.3
11301,YNK,15-30,42.5
11301,YNK,30-60,47.9
11301,YNK,60-120,85.0
11301,YNK,120+,134.2
11302,AD,0-5,24.1
11302,AD,5-15,24.2
11302,AD,15-30,24.3
11302,AD,30-60,26.9
11302,AD,60-120,45.1
11302,AD,120+,60.1
11302,AKOR,0-5,32.7
11302,AKOR,5-15,32.7
11302,AKOR,15-30,33.2
11302,AKOR,30-60,40.3
11302,AKOR,60-120,70.6
11302,AKOR,120+,107.0
11302,ATP,0-5,11.5
11302,ATP,5-15,11.5
11302,ATP,15-30,11.7
11302,ATP,30-60,16.9
11302,ATP,60-120,31.6
11302,ATP,120+,45.9
11302,BNC,0-5,7.9
11302,BNC,5-15,7.9
11302,BNC,15-30,8.2
11302,BNC,30-60,12.5
11302,BNC,60-120,27.1
11302,BNC,120+,38.9
11302,CSMT,0-5,16.9
11302,CSMT,5-15,16.9
11302,CSMT,15-30,17.3
11302,CSMT,30-60,23.6
11302,CSMT,60-120,47.0
11302,CSMT,120+,69.4
11302,DBU,0-5,21.4
11302,DBU,5-15,21.4
11302,DBU,15-30,21.7
11302,DBU,30-60,28.0
11302,DBU,60-120,53.7
11302,DBU,120+,81.3
11302,DD,0-5,9.7
11302,DD,5-15,9.7
11302,DD,15-30,10.0
11302,DD,30-60,14.5
11302,DD,60-120,29.7
11302,DD,120+,43.8
11302,DMM,0-5,10.0
11302,DMM,5-15,10.1
11302,DMM,15-30,10.3
11302,DMM,30-60,14.9
11302,DMM,60-120,30.0
11302,DMM,120+,44.2
11302,DR,0-5,24.6
11302,DR,5-15,24.6
11302,DR,15-30,25.0
11302,DR,30-60,30.8
11302,DR,60-120,60.3
11302,DR,120+,90.1
11302,DUD,0-5,21.3
11302,DUD,5-15,21.3
11302,DUD,15-30,21.6
11302,DUD,30-60,27.3
11302,DUD,60-120,51.8
11302,DUD,120+,78.7
11302,GBD,0-5,23.1
11302,GBD,5-15,23.2
11302,GBD,15-30,23.4
11302,GBD,30-60,29.0
11302,GBD,60-120,54.3
11302,GBD,120+,82.4
11302,GTL,0-5,17.8
11302,GTL,5-15,17.8
11302,GTL,15-30,18.1
11302,GTL,30-60,23.8
11302,GTL,60-120,44.0
11302,GTL,120+,65.2
11302,GUR,0-5,18.1
11302,GUR,5-15,18.2
11302,GUR,15-30,18.4
11302,GUR,30-60,24.1
11302,GUR,60-120,45.3
11302,GUR,120+,66.5
11302,HUP,0-5,24.0
11302,HUP,5-15,24.0
11302,HUP,15-30,24.3
11302,HUP,30-60,29.9
11302,HUP,60-120,56.0
11302,HUP,120+,84.6
11302,KLBG,0-5,17.3
11302,KLBG,5-15,17.3
11302,KLBG,15-30,17.5
11302,KLBG,30-60,23.2
